Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
1,Éric Abidal,fr FRA,DF,es Barcelona,27,1979,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Dani Alves,br BRA,"DF,MF",es Barcelona,24,1983,8,8,750,8.3,2,2,4,2,0,0,2,0,0.24,0.24,0.48,0.24,0.48,Matches
160,Marc Crosas,es ESP,MF,es Barcelona,19,1988,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Deco,pt POR,MF,es Barcelona,29,1977,6,6,503,5.6,0,1,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
195,Giovani dos Santos,mx MEX,"FW,MF",es Barcelona,18,1989,5,2,134,1.5,1,0,1,1,0,0,1,0,0.67,0.00,0.67,0.67,0.67,Matches
206,Edmílson,br BRA,"DF,MF",es Barcelona,31,1976,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
216,Samuel Eto'o,cm CMR,FW,es Barcelona,26,1981,7,6,504,5.6,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches
281,Eiður Guðjohnsen,is ISL,"FW,MF",es Barcelona,28,1978,8,3,246,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
289,Thierry Henry,fr FRA,FW,es Barcelona,29,1977,10,7,714,7.9,3,2,5,3,0,0,1,0,0.38,0.25,0.63,0.38,0.63,Matches
313,Andrés Iniesta,es ESP,MF,es Barcelona,23,1984,11,9,812,9.0,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches
330,Albert Jorquera,es ESP,GK,es Barcelona,28,1979,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
364,Bojan Krkić,es ESP,"FW,MF",es Barcelona,16,1990,9,3,356,4.0,1,1,2,1,0,0,0,0,0.25,0.25,0.51,0.25,0.51,Matches
417,Rafael Márquez,mx MEX,"DF,MF",es Barcelona,28,1979,8,5,400,4.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
436,Lionel Messi,ar ARG,"FW,MF",es Barcelona,20,1987,9,9,728,8.1,6,2,8,5,1,1,2,0,0.74,0.25,0.99,0.62,0.87,Matches
442,Gabriel Milito,ar ARG,DF,es Barcelona,26,1980,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
517,Oleguer Presas,es ESP,DF,es Barcelona,27,1980,2,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
522,Carles Puyol,es ESP,DF,es Barcelona,29,1978,10,9,862,9.6,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
558,Ronaldinho,br BRA,"FW,MF",es Barcelona,27,1980,8,7,586,6.5,1,1,2,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,Matches
629,Sylvinho,br BRA,DF,es Barcelona,33,1974,4,2,210,2.3,0,2,2,0,0,0,0,0,0.00,0.86,0.86,0.00,0.86,Matches
642,Lilian Thuram,fr FRA,DF,es Barcelona,35,1972,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
654,Yaya Touré,ci CIV,MF,es Barcelona,24,1983,9,9,761,8.5,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
659,Víctor Valdés,es ESP,GK,es Barcelona,25,1982,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
686,Xavi,es ESP,MF,es Barcelona,27,1980,12,11,975,10.8,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches
692,Gianluca Zambrotta,it ITA,DF,es Barcelona,30,1977,7,7,622,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
