Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2022-2023,Sergio Busquets,es ESP,MF,34.0,5,4,408.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Jules Koundé,fr FRA,DF,23.0,4,4,390.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,Barcelona
2022-2023,Franck Kessié,ci CIV,MF,25.0,5,4,367.0,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.25,0.49,0.74,0.25,0.74,Matches,Barcelona
2022-2023,Ronald Araújo,uy URU,DF,23.0,4,4,329.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,Barcelona
2022-2023,Gavi,es ESP,FW,17.0,5,3,376.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches,Barcelona
2022-2023,Raphinha,br BRA,FW,25.0,5,3,285.0,3.2,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.63,0.63,1.26,0.63,1.26,Matches,Barcelona
2022-2023,Alejandro Balde,es ESP,DF,18.0,4,3,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Robert Lewandowski,pl POL,FW,33.0,3,3,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,Matches,Barcelona
2022-2023,Marc-André ter Stegen,de GER,GK,30.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Marcos Alonso,es ESP,DF,31.0,5,3,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Ferrán Torres,es ESP,FW,22.0,4,3,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Jordi Alba,es ESP,DF,33.0,2,2,210.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,0.0,0.86,Matches,Barcelona
2022-2023,Iñaki Peña,es ESP,GK,23.0,2,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Ousmane Dembélé,fr FRA,FW,25.0,2,2,187.0,2.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.96,0.0,0.96,0.96,0.96,Matches,Barcelona
2022-2023,Frenkie de Jong,nl NED,MF,25.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Héctor Bellerín,es ESP,DF,27.0,2,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Sergi Roberto,es ESP,MF,30.0,3,2,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Pablo Torre,es ESP,MF,19.0,2,2,104.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.87,0.87,0.0,0.87,Matches,Barcelona
2022-2023,Eric García,es ESP,DF,21.0,3,1,176.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.51,0.51,0.0,0.51,Matches,Barcelona
2022-2023,Andreas Christensen,dk DEN,DF,26.0,2,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Pedri,es ESP,MF,19.0,1,1,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Memphis,nl NED,FW,28.0,1,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Ansu Fati,es ESP,"FW,MF",19.0,5,0,139.0,1.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.29,0.0,1.29,1.29,1.29,Matches,Barcelona
2022-2023,Ángel Alarcón,es ESP,FW,18.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2022-2023,Marc Casado,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2022-2023,Estanis,es ESP,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2022-2023,Aleix Garrido,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2022-2023,Arnau Tenas,es ESP,GK,21.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
