Temporada,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
2010-2011,4,Éric Abidal,fr FRA,DF,es Barcelona,30,1979,8,6,560,6.2,0,1,1,0,0,0,0,0,0.0,0.16,0.16,0.0,0.16,Matches
2010-2011,10,Adriano,br BRA,"DF,MF",es Barcelona,25,1984,6,5,424,4.7,0,2,2,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42,Matches
2010-2011,14,Ibrahim Afellay,nl NED,"FW,MF",es Barcelona,24,1986,6,1,117,1.3,0,1,1,0,0,0,0,0,0.0,0.77,0.77,0.0,0.77,Matches
2010-2011,23,Thiago Alcántara,es ESP,MF,es Barcelona,19,1991,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,Matches
2010-2011,32,Dani Alves,br BRA,"DF,MF",es Barcelona,27,1983,12,12,1078,12.0,2,2,4,2,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches
2010-2011,115,Sergio Busquets,es ESP,MF,es Barcelona,22,1988,12,12,1080,12.0,0,3,3,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,Matches
2010-2011,196,Jonathan dos Santos,mx MEX,MF,es Barcelona,20,1990,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,238,Andreu Fontàs,es ESP,DF,es Barcelona,20,1989,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,Matches
2010-2011,294,Andrés Iniesta,es ESP,MF,es Barcelona,26,1984,10,10,898,10.0,1,6,7,1,0,0,3,0,0.1,0.6,0.7,0.1,0.7,Matches
2010-2011,341,Seydou Keita,ml MLI,MF,es Barcelona,30,1980,10,4,425,4.7,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,Matches
2010-2011,360,Bojan Krkić,es ESP,"FW,MF",es Barcelona,19,1990,3,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,403,José Manuel Pinto,es ESP,GK,es Barcelona,34,1975,2,2,180,2.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,411,Javier Mascherano,ar ARG,"DF,MF",es Barcelona,26,1984,11,10,880,9.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,418,Maxwell,br BRA,DF,es Barcelona,28,1981,7,4,370,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,432,Lionel Messi,ar ARG,"FW,MF",es Barcelona,23,1987,13,11,1046,11.6,12,3,15,11,1,2,0,0,1.03,0.26,1.29,0.95,1.2,Matches
2010-2011,439,Gabriel Milito,ar ARG,DF,es Barcelona,29,1980,2,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,505,Pedro,es ESP,"FW,MF",es Barcelona,23,1987,12,8,772,8.6,5,1,6,5,0,0,1,0,0.58,0.12,0.7,0.58,0.7,Matches
2010-2011,517,Gerard Piqué,es ESP,DF,es Barcelona,23,1987,12,12,1024,11.4,1,0,1,1,0,0,3,0,0.09,0.0,0.09,0.09,0.09,Matches
2010-2011,529,Carles Puyol,es ESP,DF,es Barcelona,32,1978,8,7,632,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,547,Sergi Roberto,es ESP,"DF,MF",es Barcelona,18,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,631,Jeffrén Suárez,ve VEN,"FW,MF",es Barcelona,22,1988,2,1,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,661,Víctor Valdés,es ESP,GK,es Barcelona,28,1982,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
2010-2011,665,Víctor Vázquez,es ESP,"FW,MF",es Barcelona,23,1987,1,0,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17,Matches
2010-2011,673,David Villa,es ESP,"FW,MF",es Barcelona,28,1981,12,12,943,10.5,4,1,5,3,1,1,0,0,0.38,0.1,0.48,0.29,0.38,Matches
2010-2011,696,Xavi,es ESP,MF,es Barcelona,30,1980,12,11,952,10.6,2,3,5,2,0,0,0,0,0.19,0.28,0.47,0.19,0.47,Matches
