Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2015-2016,Dani Alves,br BRA,DF,32.0,1,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Sergio Busquets,es ESP,MF,27.0,1,1,120,1.3,0,1,1,0,0,0,1,0,0.0,0.75,0.75,0.0,0.75,Matches,Barcelona
2015-2016,Jérémy Mathieu,fr FRA,DF,31.0,1,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Lionel Messi,ar ARG,FW,28.0,1,1,120,1.3,2,0,2,2,0,0,0,0,1.5,0.0,1.5,1.5,1.5,Matches,Barcelona
2015-2016,Gerard Piqué,es ESP,DF,28.0,1,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Ivan Rakitić,hr CRO,MF,27.0,1,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Luis Suárez,uy URU,FW,28.0,1,1,120,1.3,1,1,2,1,0,0,0,0,0.75,0.75,1.5,0.75,1.5,Matches,Barcelona
2015-2016,Marc-André ter Stegen,de GER,GK,23.0,1,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Javier Mascherano,ar ARG,DF,31.0,1,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Rafinha,br BRA,FW,22.0,1,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17,Matches,Barcelona
2015-2016,Andrés Iniesta,es ESP,MF,31.0,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Sergi Roberto,es ESP,"DF,MF",23.0,1,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Marc Bartra,es ESP,DF,24.0,1,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2015-2016,Pedro,es ESP,"FW,MF",28.0,1,0,28,0.3,1,0,1,1,0,0,1,0,3.21,0.0,3.21,3.21,3.21,Matches,Barcelona
