50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c003dd6-a655-4aab-8ad4-4a515de1883b,2007,,"[18.6, 24.5]",266892,49,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ander Iturraspe Derteano,6388.0,Right Center Midfield,102,Barcelona,217,['55e79008-6983-493b-8a0b-4d3a35e5feb3'],54,,,,,,,,,,,,,,,,,Athletic Club,215,00:04:54.113,Block,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95a18460-384c-4c33-92f4-cc2a0d58623d,2242,,"[76.1, 77.9]",266892,56,,,True,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Iñaki Williams Arthuer,6393.0,Right Wing,117,Barcelona,217,['5638ab6f-1177-4b69-97ac-39c7673e0adf'],25,,,,,,,,,,,,,,,,,Athletic Club,215,00:11:25.394,Block,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ae65dd8-1dbe-4c7a-be11-ef2acabfcfd2,2284,,"[60.6, 6.4]",266892,57,,,True,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Markel Susaeta Laskurain,6390.0,Left Wing,120,Barcelona,217,['99269442-4a2a-43f9-aa5b-da4b5a809f46'],51,,,,,,,,,,,,,,,,,Athletic Club,215,00:12:51.466,Block,,2016/2017
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,f62ed132-f1db-4a95-8f19-579028623146,2417,,"[35.5, 51.5]",266892,60,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Eneko Bóveda Altube,6386.0,Right Center Back,127,Athletic Club,215,['dfd9e244-79d8-43cb-a890-4e178fed486a'],6,,,,,,,,,,,,,,,,,Athletic Club,215,00:15:06.750,Block,,2016/2017
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,da10c405-37d4-4087-98c1-94a8288a02ce,2540,,"[62.7, 76.0]",266892,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Ivan Rakitić,5470.0,Right Center Midfield,133,Barcelona,217,['5de2105a-57c7-4d9a-abe8-c423b724c421'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:18:50.343,Block,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f552460a-cf76-43ac-8753-074aab546b7d,2541,,"[54.4, 3.0]",266892,63,,,True,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Mikel Balenziaga Oruesagasti,6789.0,Left Back,133,Barcelona,217,,50,,,,,,,,,,,,,,,,,Athletic Club,215,00:18:50.417,Block,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75bbcbb0-418b-4d98-860a-acf84a244918,2571,,"[14.1, 40.7]",266892,64,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mikel Vesga Arruti,6667.0,Right Center Midfield,135,Barcelona,217,['888752c2-1708-4dd8-bb40-b712bcfd62e6'],23,,,,,,,,,,,,,,,,,Athletic Club,215,00:19:23.965,Block,,2016/2017
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,717842f3-3c70-40c3-8ebb-eb6ff467ab18,2666,,"[9.5, 58.9]",266892,66,,,True,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iñaki Williams Arthuer,6393.0,Right Wing,155,Barcelona,217,['689c814c-3ef2-41f5-9f77-32a69afbd992'],16,,,,,,,,,,,,,,,,,Athletic Club,215,00:21:16.806,Block,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9fdeba8a-08ba-40db-b571-1968aa484da9,2720,,"[70.6, 75.5]",266892,67,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Óscar de Marcos Arana,6649.0,Right Back,158,Barcelona,217,['1fea3bc0-7763-4752-b33a-524b70413206'],50,,,,,,,,,,,,,,,,,Athletic Club,215,00:22:50.700,Block,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,268db873-c055-4266-b8c0-c968aa1021fa,3329,,"[4.7, 53.3]",266892,86,,,True,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,190,Athletic Club,215,['b075694b-a6ab-4c7d-9dd0-0ea1f098ec7c'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:41:37.862,Block,,2016/2017
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,697d47c5-3b1f-478e-82f6-235277e74a44,3441,,"[85.2, 77.9]",266892,91,,,True,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,197,Barcelona,217,,6,,,,,,,,,,,,,,,,,Barcelona,217,00:46:06.124,Block,,2016/2017
,,,,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,93ec845b-c511-4613-87df-6f50767452bd,3514,,"[1.6, 38.6]",266892,92,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Eneko Bóveda Altube,6386.0,Right Center Back,204,Barcelona,217,['17b75849-a1bd-4435-970e-fa14da03689e'],50,,,,,,,,,,,,,,,,,Athletic Club,215,00:47:50.800,Block,,2016/2017
,,,,,,,,,,,,,,,,,1.0179,,,,,,,,,,,,,4b55d737-8e8b-4b83-92dd-3f6611cb536c,167,,"[102.1, 36.2]",266892,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Denis Suárez Fernández,6609.0,Left Center Midfield,8,Barcelona,217,['5a6ef1c5-f52b-41b3-8a7b-9f87027ea834'],34,,Right Foot,"[120.0, 45.3, 5.1]",,"[{'location': [108.1, 46.0], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.3, 29.2], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 40.3], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.3, 36.6], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.1, 38.7], 'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.1, 42.1], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.5, 43.6], 'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.1, 51.1], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",d2c33235-3754-42d3-b71c-a729a13a479f,,Off T,0.057892215,Normal,Open Play,,,,,,Barcelona,217,00:03:34.103,Shot,,2016/2017
,,,,,,,,,,,,,,,,,0.3282,,,,,,,,,,,,,859996b6-f416-4e0d-92d9-16f30da00feb,429,,"[104.6, 51.7]",266892,11,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Beñat Etxebarria Urkiaga,6396.0,Left Center Midfield,28,Barcelona,217,['4181d612-77f0-48b7-8d25-3c8877d0fee7'],23,,Right Foot,"[112.9, 46.6, 1.4]",,"[{'location': [113.0, 46.7], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.9, 54.9], 'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.8, 66.4], 'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.9, 40.2], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.2, 70.3], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.4, 60.4], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.9, 48.9], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.7, 32.5], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Saved,0.15726264,Normal,Open Play,,,,,,Athletic Club,215,00:11:23.852,Shot,,2016/2017
,,,,,,,,,,,,,,,,,0.5984,,,,,,,,,,,,,e18ef741-15bd-4e85-8a44-6f5fc13ce161,825,,"[113.5, 41.8]",266892,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,44,Barcelona,217,['6e5b14e3-1819-4185-9852-8ee86f9fb6ed'],43,,Head,"[120.0, 37.1, 1.9]",,"[{'location': [114.1, 43.0], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.9, 41.3], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.9, 39.9], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 44.7], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.3, 31.3], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.1, 18.7], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.6, 23.7], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 27.1], 'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.6, 35.5], 'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.6, 35.9], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.7, 37.7], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",4f54b11c-362f-4c4e-bba0-44b28ad58332,,Goal,0.26815128,Normal,Open Play,,,,,,Barcelona,217,00:20:43.308,Shot,,2016/2017
,,,,,,,,,,,,,,,,,0.2409,,,,,,,,,,,,,ee8a2f60-9a7c-4a5d-aaba-66200d95e8c9,1429,,"[109.6, 42.7]",266892,33,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Denis Suárez Fernández,6609.0,Left Center Midfield,67,Barcelona,217,"['abe3475d-39ce-472b-957f-03be3d228104', 'fbb9af36-63c6-4678-b727-f0e1e7232f19']",54,,Right Foot,"[111.9, 42.4]",True,"[{'location': [112.2, 42.2], 'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.3, 42.4], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.3, 35.9], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.6, 34.4], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.4, 19.6], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.0, 19.1], 'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.6, 36.0], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.2, 41.6], 'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.2, 36.0], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.9, 45.5], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.9, 42.3], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.6, 40.7], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.4, 52.2], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.4, 45.7], 'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",3f497ad4-6542-4556-8084-bd6b5baf97d9,,Blocked,0.10292995,Normal,Open Play,,,,,,Barcelona,217,00:33:54.011,Shot,,2016/2017
,,,,,,,,,,,,,,,,,0.784,,,,,,,,,,,,,4eb7a257-5fb0-4b48-965d-55ae0332fe1a,1433,,"[110.1, 45.0]",266892,33,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Denis Suárez Fernández,6609.0,Left Center Midfield,67,Barcelona,217,['b20e2aa5-7724-4f61-81aa-01d5efefad09'],55,,Right Foot,"[118.7, 41.7, 0.2]",True,"[{'location': [118.9, 41.6], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 20.5], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.3, 32.9], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.8, 40.1], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.6, 51.0], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [116.2, 49.4], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.1, 44.4], 'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.5, 42.7], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 45.3], 'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.7, 43.8], 'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 37.0], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.3, 38.5], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.5, 36.9], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.9, 22.9], 'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",,,Saved,0.13505985,Normal,Open Play,,,,,,Barcelona,217,00:33:55.004,Shot,,2016/2017
,,,,,,,,,,,,,,,,,0.8684,,,,,,,,,,,,,998ed3bb-35b8-4f2d-bac5-d1abcacb4aa7,1459,,"[105.0, 50.7]",266892,35,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,70,Barcelona,217,['6fbe101f-772a-4763-a477-2cf367e38cf3'],16,,Left Foot,"[120.0, 41.4, 4.9]",True,"[{'location': [118.9, 41.2], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.1, 19.4], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [90.6, 23.1], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [91.6, 44.0], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 47.4], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [104.6, 38.2], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.6, 38.2], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.8, 46.1], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.9, 48.4], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 49.2], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.4, 39.2], 'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 34.8], 'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 35.4], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.3, 25.1], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.4, 31.2], 'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.1, 43.5], 'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.9, 45.7], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.2, 40.2], 'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",,,Off T,0.06868008,Half Volley,Open Play,,,,,,Barcelona,217,00:35:16.486,Shot,,2016/2017
,,,,,,,,,,,,,,,,,0.742132,,,,,,,,,,,,,32c70c5d-3725-48d1-b832-c083894832b9,1527,,"[96.8, 39.1]",266892,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Aritz Aduriz Zubeldia,6394.0,Center Forward,77,Athletic Club,215,['ad788bfc-b8ec-4ad9-b8bd-96589f442e59'],40,,Left Foot,"[117.9, 37.5, 0.2]",,"[{'location': [118.1, 39.1], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.7, 62.2], 'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.0, 45.8], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.7, 32.9], 'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [81.9, 51.5], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.2, 53.6], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.2, 44.3], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.4, 40.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.4, 38.2], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.3, 34.7], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",24f2457f-70b5-4836-94d2-00aea24a5e19,,Saved,0.05345795,Normal,Open Play,,,,,,Athletic Club,215,00:38:40.748,Shot,,2016/2017
,,,,,,,,,,,,,,,,,0.141178,,,,,,,,,,,,,ed748ffa-1e63-4718-93fb-dc676ff3aa15,1575,,"[98.3, 23.5]",266892,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Iñaki Williams Arthuer,6393.0,Right Wing,79,Athletic Club,215,"['22d57e24-a96f-4268-ac70-a3750efeca94', '2cf8d5ef-b7e8-4214-a0cd-32771b0c197b']",45,,Left Foot,"[99.8, 24.7]",,"[{'location': [118.0, 37.4], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.4, 56.2], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.1, 38.5], 'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.6, 36.6], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.8, 24.7], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 14.3], 'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.6, 24.6], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.9, 35.5], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 41.8], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.2, 25.1], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.3, 33.1], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [91.4, 40.2], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,,Blocked,0.013565498,Normal,Open Play,,,,,,Athletic Club,215,00:39:45.399,Shot,,2016/2017
