50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8e5643f6-37ec-4fd2-af85-9e5ab1f9e5b6,1,,,265839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,48c33fed-e09c-4070-8497-2ca52d74fb53,2,,,265839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8693d9c8-adce-451c-8d19-40d56b69549e,3,,,265839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['48cee729-422a-4532-9084-dbcaed2e74ec'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,48cee729-422a-4532-9084-dbcaed2e74ec,4,,,265839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8693d9c8-adce-451c-8d19-40d56b69549e'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,db735427-d6ce-4e62-a616-d303be426b7a,2023,,,265839,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Sevilla,213,['81ac66ba-7b8e-4453-827c-02031bed2630'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,81ac66ba-7b8e-4453-827c-02031bed2630,2024,,,265839,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Sevilla,213,['db735427-d6ce-4e62-a616-d303be426b7a'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.9991,,,,,,,,,,,,,,f9706b37-a2b5-44a8-90ba-3cdb5aeaba1b,5,,"[60.0, 40.0]",265839,0,,,,,-1.5707964,,Right Foot,,,,"[60.0, 37.9]",,Ground Pass,,2.1,,,,,Neymar da Silva Santos Junior,4320.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['be560483-23af-42e0-8180-d0673e362162'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.509,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.145565,,,,,,,,,,,,,,8781c5e9-9557-4b9c-848a-b9074c3b2fbb,8,,"[57.1, 39.0]",265839,0,,,,,2.0828755,,Right Foot,,,,"[39.9, 69.6]",,Ground Pass,,35.102707,,,,,Aleix Vidal Parreu,6400.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['7adf0ecc-7c72-41a6-a742-12d965948014'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.710,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.964584,,,,,,,,,,,,,,6b6272c5-269f-4551-9bc5-51c55ed81be8,11,,"[40.3, 65.3]",265839,0,,,,,-1.8834788,,Right Foot,,,,"[28.5, 28.8]",,Ground Pass,,38.360004,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Aleix Vidal Parreu,6400.0,Right Back,2,Barcelona,217,['6123aa1e-b639-43d8-85f2-8fd11de59b73'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.950,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.478073,,,,,,,,,,,,,,61d9258e-02a0-46d4-91d8-9fb29b2f4296,14,,"[33.2, 28.8]",265839,0,,,,,-1.1856388,,Right Foot,,,,"[42.2, 6.6]",,Ground Pass,,23.954958,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['c7a493bb-c540-467e-90c2-cec985a3b14b'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.158,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.37936,,,,,,,,,,,,,,4cda0556-276f-41e8-ac51-a3011a9bb55c,17,,"[44.2, 7.5]",265839,0,,,,,2.500022,,Left Foot,,,,"[35.9, 13.7]",,Ground Pass,,10.36002,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['41cc9785-366c-47ec-a8f9-248b923dc66d'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.325,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.69093,,,,,,,,,,,,,,7e1b564f-b2eb-4bcb-a2b0-9d457ace399b,20,,"[36.6, 24.6]",265839,0,,,,,1.6542144,,Left Foot,,,,"[34.1, 54.5]",,Ground Pass,,30.004333,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['85159d03-4be0-412f-9032-e9fc1fafd8c2'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.175,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.2777,,,,,,,,,,,,,,228627f7-67cd-4847-8f12-0dbd556139b7,23,,"[37.1, 53.3]",265839,0,,,,,-1.7277676,,Right Foot,,,,"[32.7, 25.5]",,Ground Pass,,28.146048,,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['50144abd-57fd-49ad-823c-17fa9d327390'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.652,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.152879,,,,,,,,,,,,,,3bf491f0-6478-4e76-a7b1-48dbacdd2293,26,,"[42.8, 20.4]",265839,0,,,,,1.7234457,,Left Foot,,,,"[37.4, 55.5]",,Ground Pass,,35.512955,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['ca3fc7c5-b15f-4fbe-bd4d-4e0122409a56'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.756,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.355928,,,,,,,,,,,,,,d6f48631-eac5-4bb8-87ac-487781a83bc6,29,,"[48.8, 61.1]",265839,0,,,,,0.5191461,,Right Foot,,,,"[72.6, 74.7]",,Ground Pass,,27.411676,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['a06f4962-cc94-403c-9273-4ff94e6a3525'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.908,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.24322,,,,,,,,,,,,,,cb851a6e-6f1d-402d-a99d-3c7cf6c6e273,33,,"[74.8, 73.9]",265839,0,,,,,-3.1049118,,Left Foot,,,,"[63.9, 73.5]",,Ground Pass,,10.907337,,,,,Aleix Vidal Parreu,6400.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['48ef7d11-ca07-4d54-9629-48351f576222', '629cd10f-e095-4e95-b49f-e92f008f192b']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.676,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,0.502865,,,,,,,,,,,,,,bccd15e9-5f57-46dc-8f12-823d61d5b398,36,,"[63.9, 73.5]",265839,0,,,,,0.3402181,,Left Foot,,,,"[75.2, 77.5]",,Ground Pass,,11.987077,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Aleix Vidal Parreu,6400.0,Right Back,2,Barcelona,217,['ae1a2362-b186-4517-890a-8b5495edef36'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.624,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,4.404427,,,,,,,,,,,,,,6e10cf6c-884f-4e97-aa4d-40c8376250e6,43,,"[66.6, 65.7]",265839,0,,,,,-1.1033585,,Left Foot,,,,"[98.5, 2.5]",,High Pass,,70.79442,,,,,Neymar da Silva Santos Junior,4320.0,,True,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['29f87c43-235e-4dd1-99b6-79f5a27c7e91'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.914,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.3394,,,,,,,,,,,,,,871ea04a-91f6-41b8-abba-9759ef83b3d0,48,,"[98.1, 13.5]",265839,0,,,,,1.7033478,,Right Foot,,,,"[97.7, 16.5]",,Low Pass,,3.026549,,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,"['61b80d97-db31-45a7-aac6-3bce8b4d3060', '846cf571-67e9-4562-a47e-e394dfff670d', 'd50cf3fe-6f7e-41d0-a019-7e0fce941de1']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.071,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,0.988874,,,,,,,,,,,,,,9165ce46-4ddb-47c8-a9e9-b498df239232,60,,"[14.4, 76.6]",265839,0,,,,,-2.0576956,,Right Foot,,,,"[11.7, 71.5]",,Ground Pass,,5.770615,,,,,Jorge Andújar Moreno,6672.0,,,,,,1,Regular Play,Sebastián Carlos Cristóforo Pepe,7154.0,Right Center Midfield,3,Sevilla,213,"['bb331405-235e-40ef-877f-7247d14c646e', 'f3e00209-ca37-4127-a481-0582ff80d1e3']",54,,,,,,,,,,,,,,,,,Sevilla,213,00:00:54.216,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,0.79354,,,,,,,,,,,,,,635e42c2-a4b1-49f4-830d-f7dada4703f8,66,,"[13.9, 69.4]",265839,1,,True,,,-1.7950945,,Right Foot,,,,"[7.9, 43.1]",,Ground Pass,,26.975729,,,,,Sergio Rico González,6823.0,,,,,Free Kick,1,From Free Kick,Adil Rami,3253.0,Right Center Back,4,Sevilla,213,['749786db-47f5-4d45-b5c8-db591bfa43e1'],10,,,,,,,,,,,,,,,,,Sevilla,213,00:01:10.783,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.47345,,,,,,,,,,,,,,bd24ef8e-7238-4163-a4c9-e4edaa386ef5,68,,"[7.1, 44.3]",265839,1,,,,,-1.2671244,,Right Foot,,,,"[13.9, 22.6]",,Ground Pass,,22.740492,,,,,Timothée Kolodziejczak,10476.0,,,,,,1,From Free Kick,Sergio Rico González,6823.0,Goalkeeper,4,Sevilla,213,['efbae8a1-2090-4f0e-9ff9-1053c2bbc539'],12,,,,,,,,,,,,,,,,,Sevilla,213,00:01:12.897,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.28696,,,,,,,,,,,,,,01255c21-fdc0-4c03-a550-9ac8afc0ee35,71,,"[14.9, 20.6]",265839,1,,,,,-0.7205541,,Left Foot,,,,"[35.4, 2.6]",,Ground Pass,,27.280945,,,,,Benoît Trémoulinas,27483.0,,,,,,1,From Free Kick,Timothée Kolodziejczak,10476.0,Left Center Back,4,Sevilla,213,['d22bb365-07bc-4e41-9541-f313fb8cc32a'],15,,,,,,,,,,,,,,,,,Sevilla,213,00:01:15.478,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.2846,,,,,,,,,,,,,,c15a2507-6b36-43a7-9996-502418158d37,75,,"[24.0, 4.9]",265839,1,,,,,3.0808566,,Left Foot,,,,"[9.2, 5.8]",,Ground Pass,,14.827339,,,,,Timothée Kolodziejczak,10476.0,,,,,,1,From Free Kick,Benoît Trémoulinas,27483.0,Left Back,4,Sevilla,213,"['2ef321e3-e64f-4462-8f5f-9c4ca259862e', '69382d69-7315-412a-9ae2-f10a40c4623a']",18,,,,,,,,,,,,,,,,,Sevilla,213,00:01:18.504,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,0.4652,,,,,,,,,,,,,,5c07e155-fdaf-480a-9ebe-939960828b06,78,,"[9.2, 5.8]",265839,1,,,,,-0.03029376,,Left Foot,,,,"[22.4, 5.4]",,Ground Pass,,13.206059,,,Incomplete,,Benoît Trémoulinas,27483.0,,,,,,1,From Free Kick,Timothée Kolodziejczak,10476.0,Left Center Back,4,Sevilla,213,"['83700c34-2bec-4d73-b412-3fb46dc4b7ad', 'a755840a-27a9-4b03-add1-afc05a74d9b1']",19,,,,,,,,,,,,,,,,,Sevilla,213,00:01:19.829,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.746647,,,,,,,,,,,,,,2ae0d15e-a7f1-42ba-9319-834340057dbf,81,,"[20.4, 0.1]",265839,1,,,,,0.22064719,,,,,,"[41.8, 4.9]",,High Pass,,21.931713,,,Incomplete,,Vicente Iborra De La Fuente,3497.0,,,,,Throw-in,1,From Throw In,Benoît Trémoulinas,27483.0,Left Back,5,Sevilla,213,"['203f2b71-05a0-4807-b8b4-2170058ecd1f', '5ec2defe-6da0-4416-bee4-8cb254f49532']",32,,,,,,,,,,,,,,,,,Sevilla,213,00:01:32.224,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.396866,,,,,,,,,,,,,,5ec2defe-6da0-4416-bee4-8cb254f49532,84,,"[78.3, 75.2]",265839,1,,,,True,-0.24053425,,,,,,"[83.6, 73.9]",,High Pass,,5.4571056,,,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Sevilla,213,"['2ae0d15e-a7f1-42ba-9319-834340057dbf', '6dd421ad-9c83-48d4-8126-94108aead399', 'ce9ef288-d25e-4b06-ba9d-5cce902c4395', 'f4e3ba3c-5637-4141-be5c-312bff8b1252']",33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.971,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,1.229,,,,,,,,,,,,,,2474f0c3-058a-4684-9727-25178c5124a1,89,,"[36.3, 2.0]",265839,1,,,,,0.17324567,,Left Foot,,,,"[44.3, 3.4]",,Low Pass,,8.121576,,,Incomplete,,Michael Krohn-Dehli,6356.0,,,,,,1,From Throw In,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,Left Center Midfield,5,Sevilla,213,"['2b838dbf-0514-4bce-8a01-5b45b6c150fc', '40e04c17-653f-41d2-adf8-09db836e3535']",36,,,,,,,,,,,,,,,,,Sevilla,213,00:01:36.404,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,2b838dbf-0514-4bce-8a01-5b45b6c150fc,91,,"[75.8, 76.7]",265839,1,,,,,-0.5483072,,Right Foot,,,,"[92.5, 66.5]",,High Pass,,19.568598,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Sevilla,213,"['2474f0c3-058a-4684-9727-25178c5124a1', '30aa3da2-069e-4e99-a60c-ab277b34753c', 'a2655139-b44c-43b3-9010-04ed147e8a2a']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.633,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.0126,,,,,,,,,,,,,,30aa3da2-069e-4e99-a60c-ab277b34753c,93,,"[27.6, 13.6]",265839,1,,,,,-0.027579213,,Head,,,,"[42.1, 13.2]",,High Pass,,14.505516,,,Incomplete,,Michael Krohn-Dehli,6356.0,,,,,Recovery,1,From Throw In,Timothée Kolodziejczak,10476.0,Left Center Back,5,Sevilla,213,"['2b838dbf-0514-4bce-8a01-5b45b6c150fc', 'b355f3f9-c6be-4201-9906-f62d4d4409f3', 'cc2bf3b8-b0b8-4729-a571-d3e80896ef2c']",39,,,,,,,,,,,,,,,,,Sevilla,213,00:01:39.413,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.1005,,,,,,,,,,,,,,b355f3f9-c6be-4201-9906-f62d4d4409f3,95,,"[78.0, 66.9]",265839,1,,,,,-0.15264933,,Right Foot,,,,"[80.6, 66.5]",,Low Pass,,2.6305892,,,Incomplete,,Sergi Roberto Carnicer,6379.0,,,,,Recovery,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Sevilla,213,"['30aa3da2-069e-4e99-a60c-ab277b34753c', '7fd84093-3b2e-48f1-bdec-77416c022c0e', 'fed201c4-6f4c-4a53-b9a8-70efc06e013a']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.425,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,3.1882,,,,,,,,,,,,,,4e1034d3-de42-4ff0-b523-1b22ad86ca3e,104,,"[35.8, 18.2]",265839,1,,,,,1.849096,,Right Foot,,,,"[29.0, 42.0]",,High Pass,,24.752373,,,,,Adil Rami,3253.0,,,,,,1,From Throw In,Michael Krohn-Dehli,6356.0,Left Wing,5,Sevilla,213,"['590be935-a929-4fa5-a129-030881adf336', '652a9145-1457-4ea1-a9d8-d458216cf297']",42,,,,,,,,,,,,,,,,,Sevilla,213,00:01:42.150,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,2.207,,,,,,,,,,,,,,7704d29d-b4e1-44c5-b9b3-7c77ada1c2ea,106,,"[29.0, 42.0]",265839,1,,,,,0.87806875,,Head,,,,"[41.2, 56.7]",,High Pass,,19.103142,,,Incomplete,,Víctor Machín Pérez,6841.0,,,,,,1,From Throw In,Adil Rami,3253.0,Right Center Back,5,Sevilla,213,"['5bc0bc1a-1145-4d90-b825-625fecbb872d', 'a6e9c4a1-78ad-4cca-b876-f6e546098968']",45,,,,,,,,,,,,,,,,,Sevilla,213,00:01:45.378,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.7668,,,,,,,,,,,,,,19e12491-866a-46c3-a154-372223ea781c,113,,"[77.4, 24.5]",265839,1,,,,,0.48689923,,Right Foot,,,,"[82.5, 27.2]",,Ground Pass,,5.770615,,,,,Arda Turan,11094.0,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,['5d40640c-d1f6-4b95-8948-410d67180986'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.795,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.921808,,,,,,,,,,,,,,8ff613b9-b095-4135-a1d1-8752174e05e8,116,,"[82.5, 27.2]",265839,1,,,,,-2.4459996,,Right Foot,,,,"[71.0, 17.6]",,Ground Pass,,14.98032,,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Arda Turan,11094.0,Left Center Midfield,6,Barcelona,217,['aed10c79-5e95-4c5e-b66a-065ba98f7606'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:01:49.642,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.8179,,,,,,,,,,,,,,645c73d1-0788-4e28-a53f-544ca37d5d35,120,,"[72.6, 17.6]",265839,1,,,,,0.8784619,,Left Foot,,,,"[79.4, 25.8]",,Ground Pass,,10.652699,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,"['25579b45-06f6-48bd-9292-2488a86e9900', '51f7574f-a0eb-4220-8710-afa7a9a2b31e']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.395,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,1.829845,,,,,,,,,,,,,,1472746d-8282-4c49-b794-137547e08c08,131,,"[84.8, 26.8]",265839,1,,,,,1.3932002,,Right Foot,,,,"[90.4, 58.0]",,Ground Pass,,31.69858,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,"['259d0c23-5e96-4482-9df6-02d73ca33b9f', '77b425d6-3fce-4dd5-9cbe-4eb168b515a8']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:01:59.699,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,,,2.376986,,,,,,,,,,,,,,051ee2a3-8de2-4801-b67c-c4bcf95a2652,134,,"[90.4, 58.0]",265839,2,,,,,-0.82623565,,Left Foot,,,,"[112.7, 33.8]",,High Pass,,32.9079,,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,6,Barcelona,217,"['183a83de-f21c-43ef-8ddd-b8ec8f5e92e2', '55406506-3b72-4b7f-a12c-678fb8853cdd']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.619,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,4.987438,,,,,,,,,,,,,,f9c688d3-5ebf-426a-bb1e-dbe3ce0dd35d,138,,"[10.2, 48.6]",265839,2,,,,,0.38606316,,Drop Kick,,,,"[84.5, 78.8]",,High Pass,,80.20306,,,Out,,Kevin Gameiro,6401.0,,,,,,1,Regular Play,Sergio Rico González,6823.0,Goalkeeper,6,Barcelona,217,['ccc7af6e-ae84-414c-adea-085909705103'],6,,,,,,,,,,,,,,,,,Sevilla,213,00:02:06.998,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.315594,,,,,,,,,,,,,,cb1bf78a-8fd6-4aca-9393-25685e3bb124,140,,"[28.6, 0.1]",265839,2,,,,,1.8836975,,,,,,"[19.8, 27.3]",,Low Pass,,28.58811,,,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,7,Barcelona,217,['09fbeefc-cfbe-4a43-9b93-5e413d86c1ce'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:02:18.509,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.226209,,,,,,,,,,,,,,71c655f1-4424-4446-86bd-a514f62be5a7,143,,"[38.2, 49.8]",265839,2,,,,,1.3276712,,Left Foot,,,,"[44.5, 75.2]",,Ground Pass,,26.16964,,,,,Aleix Vidal Parreu,6400.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['f9e6f0ac-a5fc-420d-b043-4f6157f7748e'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:02:25.956,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.3001,,,,,,,,,,,,,,b3a8bcab-396c-4f9c-85e4-43e5c9b9c8f1,146,,"[50.5, 74.9]",265839,2,,,,,-0.046020117,,Right Foot,,,,"[65.7, 74.2]",,Ground Pass,,15.21611,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Aleix Vidal Parreu,6400.0,Right Back,7,Barcelona,217,['c175bca1-5560-42b1-a8ec-955ba150579d'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:02:29.190,Pass,,2015/2016
