Temporada,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
2019-2020,Jordi Alba,es ESP,DF,30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Antoine Griezmann,fr FRA,FW,28.0,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches,Barcelona
2019-2020,Lionel Messi,ar ARG,FW,32.0,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches,Barcelona
2019-2020,Neto,br BRA,GK,30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Gerard Piqué,es ESP,DF,32.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Sergi Roberto,es ESP,DF,27.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Luis Suárez,uy URU,FW,32.0,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches,Barcelona
2019-2020,Samuel Umtiti,fr FRA,DF,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Arturo Vidal,cl CHI,MF,32.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Frenkie de Jong,nl NED,MF,22.0,1,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Sergio Busquets,es ESP,MF,31.0,1,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Ivan Rakitić,hr CRO,MF,31.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Ansu Fati,es ESP,"FW,MF",16.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
2019-2020,Junior Firpo,do DOM,"DF,MF",22.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2019-2020,Clément Lenglet,fr FRA,DF,24.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2019-2020,Iñaki Peña,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2019-2020,Carles Pérez,es ESP,"FW,MF",21.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
2019-2020,Nélson Semedo,pt POR,"DF,MF",25.0,0,0,,,,,,,,,,,,,,,,Matches,Barcelona
